title,price,brand,colortitle,sizes
W NIKE DUNK LOW TWIST,"Rs. 11,000.00",NIKE,BLACK/WHITE-BLACK,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
adidas by Stella McCartney Sportswear 2000,"Rs. 18,300.00",ADIDAS BY STELLA MCCARTNEY,Blush Yellow/Solar Lime/Yellow,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Buckle Mules,"Rs. 23,000.00",ALEPEL,Beige,"6,7,8,9"
CARIBOU X BOOT CHELSEA WP,"Rs. 14,800.00",SOREL,"CANOE, JET","6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
JODIE,"Rs. 33,000.00",SEE BY CHLOE,BLACK,"36,37,38,39,40,41"
aSMC Seeulater,"Rs. 17,100.00",ADIDAS BY STELLA MCCARTNEY,Cblack/Utigre/Hirblu,"6,6.5,7,7.5,8,8.5,9,9.5"
V10,"Rs. 17,800.00",VEJA,Jade White Multico,"35,36,37,38,39,40,42"
Missoni Basket 90' Stripes Low,"Rs. 46,200.00",MISSONI,White/Green,"36,37,38,39,40,41"
Missoni Basket Low,"Rs. 46,200.00",MISSONI,White/Black,"36,37,38,39,40,41,42"
Sonia,"Rs. 33,000.00",MONTELLIANA,White Gold,"36,37,38,39,40,41"
Mallory,"Rs. 54,000.00",SEE BY CHLOE,Tan,"36,37,38,39,40"
Conquer Boot,"Rs. 45,900.00",MACKAGE,Coffee,"36,37,38,39,40,41"
aSMC Winterboot COLD.RDY,"Rs. 14,000.00",ADIDAS BY STELLA MCCARTNEY,core black/grey four/active orange,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10"
Equestrian Mule,"Rs. 23,000.00",ALEPEL,Black,"6,7,8,9"
Tye Slide,"Rs. 44,800.00",DEAR FRANCES,Lait,"36,37,38,39,40"
Sneaker B Court-calf & Metallized Leather,"Rs. 46,200.00",BALMAIN,Gac Blanc-Argent,"36,36.5,37,37.5,38,38.5,39,39.5,40,35,41,42,43"
V-10 Sneaker,"Rs. 12,100.00",VEJA,White-Butter-Almond,"36,37,38,39,40,41"
Boston,"Rs. 15,600.00",BIRKENSTOCK,,"36,37,38,39,40"
Livia Loafer,"Rs. 54,400.00",MARIA LUCA,Natural,"36,37,38,39,40"
Retro Runner,"Rs. 13,300.00",VEJA,Natural Platine,"37,38,39,40"
aSMC UltraBOOST 20 metallic,"Rs. 18,300.00",ADIDAS BY STELLA MCCARTNEY,Clearonix/Desdun/Owhite,"6,6.5,7,7.5,8,8.5,9,9.5,10"
aSMC COURT BOOST,"Rs. 18,300.00",ADIDAS BY STELLA MCCARTNEY,Ftwwht/Charcoal/Core Black,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Cloudnova,"Rs. 14,700.00",ON,Phantom / White,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Cloudmonster Exclusive,"Rs. 15,600.00",ON,All White,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Gill Mesh Ballet,"Rs. 16,500.00",ALOHAS,Red Mesh Leather,"36,37,38,39,40"
tb.490,"Rs. 20,100.00",ALOHAS,Soft Brown Leather Zebra,"36,37,38,39,40"
tb.490 Rife,"Rs. 17,400.00",ALOHAS,Shimmer Silver,"36,37,38,39,40"
Fun Fur Snowboot,"Rs. 59,300.00",GOLDBERGH,Black,"37-38,39-40,41-42"
Champy Snowboot Low,"Rs. 62,900.00",GOLDBERGH,Cream,"37-38,39-40,41-42"
Air Max 270,"Rs. 14,700.00",NIKE,White/Vintage Green/Bicoastal,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike Air VaporMax 2023 Flyknit,"Rs. 19,200.00",NIKE,White/Sky Grey- Platinum Tint,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Nike P-6000,"Rs. 10,100.00",NIKE,Coconut Milk/Black Summit-White,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike V2K Run,"Rs. 11,000.00",NIKE,Summit White/ Chrome / White / LT Orewood Brn,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10"
Nike Cortez Vintage Suede,"Rs. 9,200.00",NIKE,Summit White/Black / Muslin Gum /Med Brown,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
