title,price,brand,colortitle,sizes,imageurl
Wrap Legging in Heather Melt,"Rs. 9,900.00",CARBON38,Heather Oatmeal,"XS,S,M,L,XL",//carbon38.com/cdn/shop/products/CARB-YD170H-NUDE-23SM-WRAP-LEGGING-color-HEATHER-OATmeal_0186.jpg?v=1700078477&width=400
Wrap Bra in Heather Melt,"Rs. 8,100.00",CARBON38,Heather Oatmeal,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD2005H-ULTDRKGREY-23SS-Wrap-Bra-in-heather-melt-color-charcoal-heather.jpg?v=1697581667&width=400
Wrap Legging in Heather Melt,"Rs. 9,900.00",CARBON38,Heather Oatmeal,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD199H-ULTDRKGREY-23SS-Wrap-Legging-in-heather-melt-color-charcoal-heather_3.jpg?v=1697581805&width=400
Split Bootcut Legging in Melt,"Rs. 10,800.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD163-BRWN-22FAL-Split-Bootcut-Legging-in-Melt-color-Dark-Oak_1.jpg?v=1700078498&width=400
Short Sleeve Off Shoulder Sweatshirt in French Terry,"Rs. 12,600.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD694-GREY-23SM-Short-Sleeve-Off-Shoulder-Sweatshirt-in-french-terry-color-Heather-Grey_0606.jpg?v=1685645037&width=400
Long RacerBack Tank,"Rs. 6,300.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD335-BLK-23SS-Long-RacerBack-Tank-color-Black_3.jpg?v=1685656615&width=400
V-Neck Longline Bra in Melt,"Rs. 8,100.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD278-OLVE-22SS-V-NECK-LONGLINE-BRA-color-CORE-OLIVE_2026377.jpg?v=1718230244&width=400
High Rise Legging in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD165-OLVE-22SS-HIGH-RISE-FULL-LENGTH-LEGGING-IN-MELT-color-CORE-OLIVE_20433123.jpg?v=1718231400&width=400
Regular Rise 7/8 Legging in Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/files/CARB-CRB19050-BLKBLK-Regular-Rise-7-8-Legging-in-Takara-Shine-color-black6-Edit.jpg?v=1726082835&width=400
Long RacerBack Tank,"Rs. 6,300.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD335-WHT-23SS-Long-RacerBack-Tank-color-white_1384.jpg?v=1710451259&width=400
One Shoulder Convertible Bra Top in Melt,"Rs. 9,000.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD273-WHT-22SM-ONE-SHOULDER-CONVERTIBLE-BRA-TOP-color-White_029111.jpg?v=1718228738&width=400
Short Sleeve Pocket Tee,"Rs. 7,200.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD638A-WHT-23SS-Short-Sleeve-Pocket-Tee-color-White_0175.jpg?v=1682454611&width=400
Oversized Button Up Shirt,"Rs. 11,700.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/products/CARB-YD614-WHIWHI-Oversized-Button-Up-Shirt-color-White_4419.jpg?v=1678151380&width=400
Long Sleeve Off Shoulder Tee,"Rs. 8,100.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD6028-WHT-23FAL-Long-Sleeve-Off-Shoulder-Tee-color-White_1.jpg?v=1694191404&width=400
High Rise 7/8 Legging in Takara Shine,"Rs. 10,000.00",CARBON38,Spice Route,"XS,S,M,L,XL",//carbon38.com/cdn/shop/products/CARB-CRB19051-SPICE-23SS-HIGH-RISE-7-8-LENGTH-LEGGING-IN-TAKARA-SHINE-color-SPICE-ROUTE_0589.jpg?v=1679948734&width=400
Ribbed 7/8 Legging,"Rs. 8,400.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-W378-GLD-23SM-Ribbed-7-8-Legging-color-OLD-GOLD_0697.jpg?v=1683145091&width=400
High Rise Legging in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD165-CARIB-23FAL-High-Rise-Full-Length-Legging-in-Melt-color-Caribou_44414_47e96063-0db4-4899-b389-7075b1b7d1d8.jpg?v=1709326211&width=400
