title,price,brand,colortitle,sizes
Wrap Bra in Heather Melt,"Rs. 8,100.00",CARBON38,Heather Oatmeal,"XS,S,M,L,XL"
Rhinestone Front Slit Sweatpant,"Rs. 12,300.00",CARBON38,Black,"XS,S,M,L,XL"
Action Bra 2.0 in Crocodile Takara Shine,"Rs. 6,900.00",CARBON38,Velvet Green,"XS,S,M,L,XL"
One Shoulder Convertible Bra Top in Melt,"Rs. 7,600.00",CARBON38,Haute Red,"XS,S,M,L,XL"
Crochet Tank in Melt,"Rs. 8,400.00",CARBON38,Pickled Beet,"XS,S,M,L,XL"
SATIN SLIP DRESS,"Rs. 13,100.00",CARBON38,NAVY,"XS,S,M,L,XL"
Diamond Quilted Puffer Vest,"Rs. 15,400.00",CARBON38,Black,"XS,S,M,L,XL"
Ribbed Biker Short,"Rs. 6,100.00",CARBON38,White,"XXS,XS,S,M,L,XL,XXL"
Printed Base Layer Legging,"Rs. 11,500.00",CARBON38,Printed Fairisle,"XS,S,M,L,XL"
Tank In Diamond Compression,"Rs. 6,900.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL"
Pleated Tennis Skirt,"Rs. 10,000.00",CARBON38,Ivory,"XS,S,M,L,XL"
Twisted Tunic Shirt,"Rs. 11,500.00",CARBON38,White/Tan Stripe,"XS,S,M,L,XL"
Zip Long Sleeve Run Top,"Rs. 10,700.00",CARBON38,Charcoal Heather,"XS,S,M,L,XL"
Short Sleeve Pocket Tee,"Rs. 6,100.00",CARBON38,Pickled Beet,"XS,S,M,L,XL"
Tennis Tank,"Rs. 10,000.00",CARBON38,Ivory,"XS,S,M,L,XL"
Action Bra 2.0 in Takara Shine,"Rs. 6,900.00",CARBON38,Lazuli Blue,"XS,S,M,L,XL"
Mesh Midi-length Tunic,"Rs. 9,200.00",CARBON38,Black,"XS,S,M,L,XL"
Long Sleeve Top In Diamond Compression,"From Rs. 7,600.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL"
FRENCH TERRY HALF ZIP,"Rs. 10,000.00",CARBON38, HAWAIIAN SURF,"XS,S,M,L,XL"
Long Sleeve Printed Base Layer,"Rs. 11,500.00",CARBON38,Buffalo Plaid,"XS,S,M,L,XL"
Long Sleeve Wrap Neck Shirt,"Rs. 10,000.00",CARBON38,White,"XS,S,M,L,XL"
